"filename", "language", "JSON", "JavaScript", "Makefile", "JSON with Comments", "TypeScript", "XML", "Docker", "HTML", "CSS", "Vue", "comment", "blank", "total"
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 1, 25
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/package-lock.json", "JSON", 6027, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6028
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/package.json", "JSON", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/public/pdf.worker.js", "JavaScript", 0, 40421, 0, 0, 0, 0, 0, 0, 0, 0, 87, 7130, 47638
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/public/vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 4, 22
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/assets/cross-icon.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 0, 11
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/assets/styles/account-page.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 274, 0, 2, 44, 320
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/assets/styles/add-foapa-page.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 234, 0, 5, 34, 273
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/assets/styles/add-reimbursement-page.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 514, 0, 17, 88, 619
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/assets/styles/contact-page.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 16, 20, 150
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/assets/styles/dashboard-page.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 403, 0, 10, 65, 478
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/assets/styles/login-page.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 172, 0, 0, 24, 196
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/assets/styles/manage-foapa.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 182, 0, 5, 29, 216
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/assets/styles/signup-page.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 391, 0, 3, 75, 469
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/assets/vue.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/AdminAddEditNotes.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 0, 23, 152
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/add-reimbursement/ActivityContainer.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 2, 7, 86
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/add-reimbursement/AssignFoapaInformation.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 331, 6, 54, 391
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/add-reimbursement/AssignFoapaInformationAdmin.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 314, 6, 54, 374
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/add-reimbursement/BalanceContainer.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 12, 81
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/add-reimbursement/ClaimInformation.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 0, 5, 125
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/add-reimbursement/Finish.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 584, 0, 67, 651
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/add-reimbursement/FoapaContainer.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 6, 58
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/add-reimbursement/GuestInformation.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 186, 5, 14, 205
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/add-reimbursement/ManageExpenses.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 310, 5, 39, 354
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/add-reimbursement/ManageReceipts.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 445, 1, 62, 508
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/add-reimbursement/QuickAddPopup.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 292, 12, 38, 342
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/admin/SummarySection.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 3, 35
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/dashboard/DashboardLeftPanel.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 1, 4, 36
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/dashboard/DashboardRightPanel.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 326, 12, 30, 368
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/dashboard/FeedbackPill.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/dashboard/FoapaNumbersList.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 7, 45
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/dashboard/ReimbursementCardGrid.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 0, 22, 277
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/dashboard/ReimbursementCardGridAdmin.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 522, 4, 54, 580
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/dashboard/ReimbursementCardList.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 156, 0, 11, 167
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/dashboard/ReimbursementCardTable.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 202, 0, 17, 219
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/dashboard/ReimbursementStatus.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 4, 40
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/dashboard/SideNavigationBar.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 7, 75
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/dashboard/UserInformationSummary.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 9, 104
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/manage-foapa/AddFoapaPopup.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 411, 0, 45, 456
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/signup-flow/AddressSection.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 19, 200
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/signup-flow/FoapaSection.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 4, 29
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/signup-flow/PasswordSection.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 173, 0, 15, 188
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/utilities/ConfirmationPopup.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 2, 3, 50
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/main.ts", "TypeScript", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 4, 6, 56
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/account_page.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 390, 12, 21, 423
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/add_reimbursement_page.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 344, 4, 38, 386
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/admin_edit_reimbursement_page.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 291, 3, 27, 321
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/admin_page.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 330, 41, 41, 412
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/admin_user_management.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 320, 0, 31, 351
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/contact_us_page.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 23, 5, 110
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/dashboard_page.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 168, 0, 33, 201
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/forgot_password_page.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 2, 7, 116
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/login_page.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 213, 0, 12, 225
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/manage_foapa_details.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 988, 7, 103, 1098
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/password_page.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 189, 3, 14, 206
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/profile_page.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 5, 16, 132
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/review_request_page.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 167, 0, 20, 187
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/signup_page.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 238, 0, 15, 253
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/signup_post_verification_page.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 12, 17, 167
"/home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/signup_pre_verification_page.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 0, 15, 195
